Name,Latitude,Longitude,Providerprice1,neighborhood
Hotel Adlon Kempinski Berlin,52.5161171,13.38028622,477.86,unknown
Regent Berlin,52.51528549,13.39096069,381.1729,unknown
Waldorf Astoria Berlin,52.50579071,13.3327446,380.79,unknown
SO/ Berlin Das Stue,52.50969696,13.34616089,374.1998,Botschaftsviertel
Myer's Hotel - Berlin,52.53134155,13.41814137,265.6,Kollwitzkiez
Berlin Gorki Apartments,52.5306282,13.40147781,223.72,Spandauer Vorstadt
Hotel Berlin Central District,52.50735092,13.36361599,188.69,Botschaftsviertel
HONIGMOND Boutique Hotel,52.52958679,13.38912868,184.53,Spandauer Vorstadt
Hilton Berlin,52.51230621,13.39255047,182.78,unknown
Hotel Vita Berlin,52.50939178,13.26766968,178.64,unknown
Garden Living,52.52965546,13.38038063,175.29,unknown
"InterContinental Berlin, an IHG Hotel",52.5069313,13.34552479,171.2483,Botschaftsviertel
Guest-House Axel Springer,52.54129028,13.34757996,162.4,unknown
Hotel Bristol Berlin,52.50379562,13.3275156,160.38,unknown
25hours Hotel Bikini Berlin,52.50560379,13.33788872,160.27,unknown
Hotel Nikolai Residence,52.51724243,13.40637398,153.6,unknown
Pullman Berlin Schweizerhof,52.50586319,13.34406567,152.2243,unknown
Precise Tale Berlin Potsdamer Platz,52.50571823,13.38031006,151.1278,unknown
Hotel Neuer Fritz Berlin,52.52236938,13.38815784,141.86,unknown
DämeritzSeehotel,52.42499924,13.72618484,140.8,unknown
Landhaus Schlachtensee,52.43945694,13.22973633,138.66,unknown
Parkhotel Marzahn Garni,52.5450592,13.57186985,137.7,unknown
COSMO Hotel Berlin Mitte,52.5114975,13.40133858,137.6,unknown
Lulu Guldsmeden - Guldsmeden Hotels,52.50335312,13.36618328,134.37,unknown
Hotel Residenz Begaswinkel,52.50351715,13.35837841,133.33,Botschaftsviertel
Hotel Brandies,52.51016998,13.28086281,129.6,unknown
Ocak Apartment & Hotel,52.55085754,13.3915472,126.93,unknown
Sir Savigny Hotel,52.50575256,13.32067776,126.61,unknown
Hotel Essential by Dorint Berlin-Adlershof,52.43178558,13.53461933,125.65,unknown
LANDMARK eco Hotel,52.50193405,13.29690075,123.73,unknown
Mercure Hotel MOA Berlin,52.53193283,13.34366226,123.4913,unknown
Hotel Seifert,52.49956894,13.32496738,122.66,unknown
Meliá Berlin,52.52144623,13.38842773,122.4,unknown
NH Collection Berlin Mitte am Checkpoint Charlie,52.5103569,13.38852596,122.08,unknown
Motel One Berlin Spittelmarkt,52.51088333,13.40102005,122.08,unknown
SANA Berlin Hotel,52.49909592,13.3346014,120.7234,unknown
Scandic Berlin Potsdamer Platz,52.50465012,13.37496853,118.61,unknown
Mercure Hotel & Residenz Berlin Checkpoint Charlie,52.50853729,13.39331722,118.4,unknown
art'otel berlin mitte,52.51248169,13.41006947,117.6,unknown
Karlito Apartmenthaus,52.52882004,13.40513515,117.33,Scheunenviertel
Hotel 26,52.51235199,13.45141125,116.26,unknown
Hotel Rossi,52.52801895,13.36371517,116.26,unknown
Schlosspark Hotel,52.52227402,13.28972721,116.26,unknown
Movenpick Hotel Berlin,52.5038681,13.38047791,116.0393,unknown
Grimm’s Hotel,52.50849152,13.40503693,115.36,Luisenstadt
Henri Hotel,52.50097275,13.32857037,115.2,unknown
Michelberger Hotel,52.50469208,13.44779968,114.24,unknown
Vienna House Easy Berlin,52.52941513,13.45689106,114.24,Blumenviertel
"Hotel Indigo Berlin - Ku'Damm, an IHG Hotel",52.5080452,13.32816792,114.0166,unknown
Hotel Transit Loft,52.53142166,13.42522335,112.0,Winsviertel
Living Hotel Grosser Kurfuerst,52.51207733,13.40889454,110.93,unknown
Goodman's Living,52.5122261,13.30491447,110.5,unknown
Concorde Hotel Am Studio,52.50957108,13.27739429,110.4,unknown
Capri by Fraser Berlin,52.51397705,13.40509319,109.76,unknown
Augusta Hotel,52.50241089,13.32698536,108.64,unknown
Max Brown Hotel Ku'damm,52.49684525,13.3239584,107.57,unknown
Hampton by Hilton Berlin City West,52.504879,13.32596397,107.34,unknown
Novotel Berlin Am Tiergarten,52.51414871,13.33527946,106.458,unknown
Down Town Motel,52.43239975,13.60859966,105.6,unknown
